epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,178.711,0.68125,0.40411,0.93879,0.94729,0.98014,0.98194,0.78395,0.78734,0.40571,0.96242,0.0023,0.0023,0.0023
92,180.641,0.69002,0.40384,0.95898,0.95123,0.98014,0.98163,0.75473,0.87412,0.43938,1.00139,0.00227,0.00227,0.00227
93,182.657,0.67172,0.38518,0.94755,0.93785,0.99141,0.98453,0.78054,0.75425,0.41359,0.95316,0.00224,0.00224,0.00224
94,184.588,0.67741,0.40407,0.94015,0.94624,0.99342,0.98364,0.74254,0.88782,0.43721,0.99564,0.00221,0.00221,0.00221
95,186.503,0.67332,0.38514,0.9371,0.95307,0.98495,0.98672,0.77761,0.78922,0.40915,0.95543,0.00218,0.00218,0.00218
96,188.426,0.696,0.39435,0.95918,0.95595,0.99108,0.98966,0.76632,0.86726,0.4275,0.99527,0.00215,0.00215,0.00215
97,190.34,0.67676,0.40079,0.95009,0.94621,0.99457,0.98802,0.76947,0.85152,0.41693,0.98077,0.00212,0.00212,0.00212
98,192.257,0.67098,0.40439,0.95173,0.95567,0.9917,0.98473,0.77219,0.81079,0.40611,0.96632,0.00209,0.00209,0.00209
99,194.188,0.67804,0.3957,0.94,0.95535,0.98014,0.98558,0.75672,0.86624,0.41658,0.98757,0.00206,0.00206,0.00206
100,196.109,0.66919,0.39506,0.93119,0.95071,0.98014,0.98295,0.7576,0.84356,0.41588,0.9844,0.00203,0.00203,0.00203
101,198.025,0.64492,0.39227,0.94272,0.95764,0.98014,0.98056,0.74741,0.88029,0.40549,0.99806,0.002,0.002,0.002
102,200.03,0.6749,0.39035,0.94683,0.95892,0.98014,0.9813,0.77228,0.80634,0.41507,0.97598,0.00197,0.00197,0.00197
103,202.033,0.68314,0.39394,0.95739,0.95783,0.98014,0.98385,0.73755,0.91523,0.43826,1.03696,0.00194,0.00194,0.00194
104,203.964,0.64609,0.39431,0.94669,0.95864,0.98419,0.98606,0.76933,0.82229,0.40028,0.99063,0.00191,0.00191,0.00191
105,205.89,0.66034,0.38961,0.94299,0.96313,0.97077,0.98587,0.77696,0.80056,0.39565,0.97289,0.00188,0.00188,0.00188
106,207.812,0.64855,0.40222,0.95555,0.9639,0.97506,0.98587,0.76939,0.84516,0.40499,0.99417,0.00185,0.00185,0.00185
107,209.734,0.64849,0.37992,0.93996,0.96282,0.97584,0.98669,0.78288,0.78394,0.39655,0.96494,0.00182,0.00182,0.00182
108,211.661,0.65631,0.38238,0.96005,0.96477,0.97612,0.98178,0.7662,0.82044,0.41166,0.97397,0.00179,0.00179,0.00179
